6193 1990 QC1                         98.414214  2.3988885  0.21724228 304.000777 307.526865   8.572736  12.5
6194 1990 TN                         329.690853  2.3787429  0.09628693  64.720579  38.463246   9.471989  12.7
6195 1990 VL2                        313.978255  2.5128817  0.11447054 306.676503 130.981899   3.367376  13.6
6196 1991 UO4                         97.769428  2.1987236  0.09470793 322.157623 336.959328   6.200803  13.5
6197 1992 AB1                        305.523403  2.3266561  0.06784160 214.591363 252.284982   5.852265  13.2
6198 1992 AF1                        351.920059  2.2670178  0.10889623  64.281450  25.761226   4.607009  13.2
6199 1992 BK1                        210.962017  2.5947770  0.12149137 173.501510 309.090302  12.149080  12.0
6200 Hachinohe                        49.269566  2.2509759  0.19428125 307.902831  53.948821   8.624086  13.6
6201 1993 HY                          41.684438  2.5851949  0.17058680 178.574481  98.594348   5.008966  13.1
6202 Georgemiley                      20.618292  2.3240801  0.21816867 118.525818 285.783894   1.554840  14.9
6203 1981 EC23                       293.358019  3.1505177  0.04698149  44.916498 236.542515   0.944109  13.1
6204 MacKenzie                        83.277523  2.1986090  0.11479709 188.235098  54.329435   5.156083  14.5
6205 1983 OD                          20.549731  2.3642649  0.23184921 215.256388 132.010501  13.804277  13.7
6206 1985 TB1                        187.093436  2.8287686  0.04290827 203.139260 238.378343   1.097257  12.9
6207 1988 BV                          16.345870  2.3323993  0.19736346 350.692022  86.016159   2.973732  13.8
6208 1988 XT                         253.303302  2.2538085  0.09470970 242.192056 250.166880   0.855896  13.9
6209 Schwaben                        305.180059  2.4069927  0.13619501 202.385528 282.029466   1.417395  13.8
6210 1991 AX1                        182.584879  2.8624365  0.02086018  11.772818 126.144408   3.016916  12.1
6211 1991 DO                         157.956712  2.7557651  0.09437309 247.366370 336.275887   8.545041  12.7
6212 1993 MS1                        176.685964  2.4748340  0.13385343 350.494839 228.979121  11.338881  12.4
6213 Zwiers                          295.527291  2.2736514  0.14767261 173.410040 283.867415   1.341098  14.6
6214 1971 SN2                        275.477275  3.1677464  0.17579773 262.489974  82.988253   2.367630  11.9
6215 1973 EK                         245.768424  2.6991765  0.06870878 324.300538 197.501276   1.634835  12.9
6216 1975 SJ                         316.284917  2.7559385  0.10064675  27.240699  30.632083   3.778741  12.7
6217 1975 XH                         308.767314  2.4155421  0.20969471  41.595994  94.407835  10.856668  14.0
6218 Mizushima                       261.187998  2.2810969  0.15173502 163.446181 180.689852   5.818964  14.6
6219 1978 PX2                        114.527173  2.3949398  0.19816953  13.682676 344.312573   2.195648  14.6
6220 1978 SN7                        227.707734  3.0214605  0.09324157 208.550114 220.641232   9.866664  12.4
6221 Ducentesima                      81.284515  3.1705395  0.10460734  53.653370 147.299472   1.792045  13.0
6222 1980 PB3                        148.296333  3.2575661  0.12871192 120.226093  55.448420  20.974154  11.3
6223 Dahl                            314.794273  2.7360503  0.12159780  75.717094 294.834348   3.852673  12.6
6224 1981 EK8                        189.985708  2.3643515  0.14121830 353.560857 283.154595   5.378773  15.0
6225 1981 EK12                        96.140371  2.2110026  0.03347564 318.987239 218.724227   5.336501  15.2
6226 1981 EY18                       187.385629  2.2083877  0.13235608 151.278764 279.478111   2.175377  14.8
6227 1981 EQ42                       289.509831  3.2163649  0.16948045  69.984682 205.059580   0.497093  13.1
6228 1982 BA                         259.780258  2.6876427  0.11130251 342.493883 142.538311  14.417079  12.6
6229 1983 VN7                        266.674034  3.0773609  0.18696054 236.429255 146.363628   1.646761  12.8
6230 1984 SG1                        331.313582  2.7837388  0.08464576  94.095199 287.577603   3.272747  13.1
6231 1985 FH                         129.336423  2.4770905  0.13825641  32.100984 162.904015   9.418273  13.4
6232 1985 SJ3                         25.528063  2.2434866  0.14578060 287.008312 333.184900   5.958017  13.7
6233 1986 CG                         255.960181  2.7986054  0.17667466 204.732455 267.400146   6.799300  13.3
6234 1986 SF                         239.975477  2.2620341  0.18235353 280.071797 348.580622   4.012299  13.9
6235 1987 VB                          47.549345  2.2424142  0.14114783 129.138418 283.820148   2.913454  13.1
6236 1988 WF                         285.561795  3.1354685  0.18992652 310.158863  90.054475   1.868494  12.7
6237 1989 CV                         320.009862  3.9525626  0.06754536 218.351944  26.369521   5.396623  11.5
6238 1989 NM                          55.449117  2.5613065  0.16117140 215.774307  99.183538   8.363009  12.5
6239 Minos                           127.614171  1.1514237  0.41275636 239.493289 344.856580   3.938507  17.9
6240 Lucretius Carus                  92.458401  2.2200332  0.05606482  36.841065 121.875916   4.721067  13.6
6241 Galante                         229.806498  2.9993631  0.11295734  52.456172 331.524554   9.138362  12.1
6242 1990 OJ2                         55.073325  2.2558434  0.14386794 328.304815  70.371495   4.482827  13.8
6243 Yoder                           286.339163  2.2005919  0.05192709 236.164203 305.710105   3.875467  13.4
6244 1990 QF                         132.723236  2.1599668  0.15207962  51.248648 331.554449   5.402230  13.6
6245 1990 SO4                        101.260223  2.3017113  0.17820940  51.853960 300.042715   8.016356  12.4
6246 1990 VX2                        338.695992  2.4489431  0.29178697  42.082188  53.220049  24.424851  13.0
6247 1990 WY3                         53.817004  2.3937152  0.05549047 286.794518 105.680056   8.568308  12.6
6248 1991 BM2                        138.698890  3.1053924  0.15790881  89.883306  15.833013   0.527239  13.1
6249 Jennifer                         88.216099  1.9144921  0.14204479 151.273932 221.799750  28.101536  12.4
6250 1991 VX1                         49.482737  1.9326831  0.07140058 298.770677 226.686745  19.778822  13.6
6251 Setsuko                         292.439525  2.2950492  0.07907135  42.181683 126.684982   4.290674  13.4
6252 Montevideo                      298.727684  2.9050737  0.06172898 219.831322 104.450441   3.135409  13.9
6253 1992 FJ                         338.902420  2.2650793  0.09281701 292.735816 217.307174   4.223531  14.1
6254 1993 UM3                         87.975663  3.0121291  0.05781566  63.281569 199.863686   9.343244  11.7
6255 Kuma                            315.669493  2.7406636  0.03378366 194.930194 275.808717   5.117931  12.5
6256 Canova                          284.937028  2.4374803  0.17248621 107.860951 328.591585   4.186801  15.6
6257 Thorvaldsen                     346.673174  2.3404507  0.08938079  21.591000  30.710377   7.924509  13.5
6258 Rodin                           334.562234  2.2597068  0.08269267   5.323421 133.189763   4.053255  13.6
6259 Maillol                         248.666201  2.2764872  0.13768547 149.380233  38.604837   6.710076  13.6
6260 Kelsey                           54.233909  2.6750806  0.17489475   6.837371 325.902177  11.976120  12.0
6261 Chione                          344.143269  2.3571556  0.34742699 292.900035 164.109850  21.826204  14.4
6262 1978 RZ                         352.030166  2.9081472  0.08004847 247.391549 122.231289   3.009043  12.9
6263 1980 PX                         182.857283  2.1879276  0.23804057 176.009700 160.321248   2.220157  14.9
6264 1980 SQ                         112.040068  2.2262164  0.13137584 159.215892 223.703020   4.761676  14.1
6265 1985 TW3                         39.560530  2.1660501  0.19321200 281.040172  45.379633   4.117082  13.5
6266 1986 TB3                        213.562239  2.2727672  0.18117890 124.064231 171.197105   5.170070  13.5
6267 1987 SO9                         62.386609  2.1623345  0.09095794 315.696709 136.817321   2.100989  14.6
6268 Versailles                       28.843755  2.3100074  0.18425903 331.497235 100.166182   1.787987  14.7
6269 1990 UJ                          67.740323  2.3948628  0.13158652 182.900744 158.031042   6.204140  13.5
6270 1991 BD                          84.542225  2.3588445  0.09287180 122.203711 282.962030   5.794285  13.5
6271 Farmer                          216.211335  1.9683609  0.05232099 342.363932 285.971952  23.553383  13.0
6272 1992 EB                         109.517058  2.1852146  0.08187056  71.570035 324.080067   0.904912  13.9
6273 1992 ER31                       299.542544  2.4800063  0.24728860 273.113648 148.296124   1.671421  13.6
6274 1992 FV                         298.620746  2.1498891  0.11612218 158.499258  96.044113   3.933594  13.6
6275 1993 VQ                         159.314127  2.9016379  0.01404288 207.237462  24.709555   2.550008  12.9
6276 1994 AB                          90.503692  2.8739806  0.04904519  23.853615 299.124150   1.436378  13.2
6277 1949 QC1                        300.437412  2.2135230  0.19704399 359.376706 331.808874   6.693636  13.9
6278 1971 TF                           7.948531  2.4354610  0.17790979  35.514226 348.909085   2.105944  13.6
